ID	category	collection_year_factor	country	state	crop	inferred_sex	CYP337b3	filter1	ARM_anc	AH	material	DNA_extraction_concentration	library_concentration	number_bases_passing_Q20	percent_mapped	chr24_inversion_genotype	chr26_inversion_genotype	chr21_inversion_genotype	filter1
CAM046012	Brazilian_helicoverpa	2015	Brazil	Roraima	soybean_cotton	male	NA	No	0.985180629	0.022480707	adult	NA	NA	791672004	60.4	NA	NA	NA	N
CAM046023	Brazilian_helicoverpa	2015	Brazil	Roraima	soybean_cotton	female	NA	No	0.989465744	0.017114914	adult	NA	NA	1005720068	71.18	NA	NA	NA	N
CAM046028	Brazilian_helicoverpa	2015	Brazil	Roraima	soybean_cotton	female	NA	No	0.990385877	0.014306339	adult	NA	NA	1457303387	81.73	NA	NA	NA	N
CAM046031	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	male	NA	Yes	0.977224565	0.04024231	adult	NA	NA	2392755674	93.4	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046034	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	female	NA	Yes	0.984191442	0.027921866	adult	NA	NA	3679875254	94.15	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046035	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	female	NA	Yes	0.973972573	0.046935419	adult	NA	NA	2283161695	93.35	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046039	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	female	NA	No	0.952176379	0.088000504	adult	NA	NA	1182156546	63.12	NA	NA	NA	N
CAM046043	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	male	NA	No	0.130982886	0.224261005	adult	NA	NA	741835787	87.15	NA	NA	NA	N
CAM046044	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	male	NA	No	0.988541845	0.019561869	adult	NA	NA	1378817134	80.24	NA	NA	NA	N
CAM046047	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	female	NA	No	0.977904857	0.038074797	adult	NA	NA	892997521	71.43	NA	NA	NA	N
CAM046048	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	male	NA	No	0.972570762	0.047563467	adult	NA	NA	816958282	61.25	NA	NA	NA	N
CAM046049	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	male	NA	No	0.983808164	0.02472581	adult	NA	NA	877051821	67.99	NA	NA	NA	N
CAM046051	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	male	NA	Yes	0.073836839	0.138878266	adult	NA	NA	1655030248	91.09	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046054	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	male	NA	No	0.978354517	0.034547471	adult	NA	NA	1177257142	83.03	NA	NA	NA	N
CAM046057	Brazilian_helicoverpa	2016	Brazil	Roraima	soybean_cotton	female	NA	No	0.978184408	0.034482015	adult	NA	NA	1071099021	61.69	NA	NA	NA	N
CAM046061	Brazilian_helicoverpa	2017	Brazil	Roraima	soybean_cotton	female	NA	Yes	0.970810406	0.053848846	adult	NA	NA	4538664765	94.39	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046067	Brazilian_helicoverpa	2017	Brazil	Roraima	soybean_cotton	female	NA	Yes	0.97972914	0.036974203	adult	NA	NA	5068166690	94.79	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046068	Brazilian_helicoverpa	2017	Brazil	Roraima	soybean_cotton	male	NA	Yes	0.977130998	0.0409945	adult	NA	NA	3094221384	90.62	ARM2/ARM2	ARM1/ARM1	ARM1/ARM2	Y
CAM046069	Brazilian_helicoverpa	2017	Brazil	Roraima	soybean_cotton	female	NA	No	0.986451021	0.022460602	adult	NA	NA	1639558151	93.68	NA	NA	NA	N
CAM046070	Brazilian_helicoverpa	2017	Brazil	Roraima	soybean_cotton	female	NA	No	0.975350472	0.043256674	adult	NA	NA	1429967517	91.97	NA	NA	NA	N
