Annotation_coordinates	top_gennic_blast_hit	Citation
21_4064909_4069215	"Helicoverpa armigera odorant receptor (OR3) mRNA, complete cds"	NA
21_4102469_4112756	"PREDICTED: Helicoverpa armigera octopamine receptor beta-3R (LOC110374308), mRNA"	NA
21_4198195_4199718	NA	NA
21_4226054_4227797	NA	NA
21_4230425_4230667	NA	NA
21_4313278_4320280	NA	NA
21_4330507_4331571	"PREDICTED: Helicoverpa zea uncharacterized LOC124634181 (LOC124634181), mRNA"	NA
21_4488383_4488793	"PREDICTED: Helicoverpa armigera etoposide-induced protein 2.4 homolog (LOC110384362), mRNA"	NA
21_4557967_4569506	"PREDICTED: Helicoverpa armigera reticulon-4-interacting protein 1, mitochondrial (LOC110377098), transcript variant X2, mRNA "	NA
21_4592244_4628961	"PREDICTED: Helicoverpa armigera trypsin-5-like (LOC110382364), transcript variant X1, misc_RNA"	NA
21_4667549_4669057	NA	NA
21_4707250_4709635	NA	NA
21_4730006_4731373	"PREDICTED: Helicoverpa armigera gloverin (LOC110378796), mRNA"	NA
21_4740498_4740698	"PREDICTED: Helicoverpa armigera uncharacterized LOC126056336 (LOC126056336), mRNA"	NA
21_4796367_4810382	"PREDICTED: Helicoverpa armigera catenin alpha (LOC110381804), transcript variant X3, mRNA"	NA
21_4819118_4860021	"PREDICTED: Helicoverpa armigera ceramide synthase (LOC110373621), mRNA"	NA
21_4957504_4957945	NA	NA
21_5014148_5018100	"PREDICTED: Helicoverpa armigera translation initiation factor IF-2 (LOC126055041), mRNA"	NA
21_5024275_5033791	"PREDICTED: Helicoverpa armigera facilitated trehalose transporter Tret1 (LOC110381375), mRNA"	NA
21_5052440_5053581	"PREDICTED: Helicoverpa armigera cytochrome P450 4C1 (LOC110381377), transcript variant X2, mRNA"	Kim Lien et al. 2019
21_5068305_5073835	"PREDICTED: Helicoverpa zea TBC1 domain family member 15 (LOC124629575), transcript variant X7, mRNA"	NA
21_5081871_5082425	assemblies_only	NA
21_5086424_5099524	"PREDICTED: Helicoverpa armigera cytochrome P450 4c21-like (LOC126056373), mRNA"	Kim Lien et al. 2019
21_5122468_5136240	"PREDICTED: Helicoverpa armigera uncharacterized LOC126053454 (LOC126053454), mRNA"	NA
